Unnamed: 0,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
2192,mutual-0069-triplet-2,0,What prerequisite does 'sing' have?,"are you going to take part in the school singing contest ? no , i do n't think so . why not ? you have a great voice and you sing at her local community center every sunday , do n't you ? thanks , well . yes , i do sing at the community center , but that is with a whole bunch of other people . i get really nervous singing in front of many people just by myself . ",has prerequisite,gen,nervous,a whole bunch of other people,no,great voice,1
1005,dream-0607-triplet-8,0,What does 'students hanging around the professor asking questions' cause?,"Hi, Lily. Where were you at lunchtime? I was looking for you in the dining hall. Oh, sorry, I missed you. My English class ran late again. That's been happening quite often recently. Maybe it's because the final exams are coming up. Yes. After class, there is always a group of students hanging around the professor asking questions. How about you? Are yon ready for the exams? I've been studying a lot recently, but my math problems are really giving me a big headache. Don't worry, Tom. There's still one month to go before the exam. You have enough time to work them out. Well, I don't need to spend much time on other subjects. I can pay more attention to my weak subjects. do well in final exam",causes,gen,looking for you,don't need to spend much time on other subjects,ready for the exams,class ran late again,3
1124,mutual-0301-triplet-3,0,Where is 'paintings' located?,"ok. everyone get on the bus . it 's time to set off . but miss james , michael has n't arrived yet . can we just wait for him just a little longer ? i 'm sorry , bil . i think we just ca n't . we 'll be very late getting to the art gallery . i know miss , but michael was really looking forward to seeing those paintings . ",at location,gen,paintings,bus,art gallery,wait for him,2
1961,dream-0047-triplet-5,0,What is implied by 'She is busy with her dancing class'?,"Do you want to go for a picinc with me tomorrow? I'd like to. How about asking Jenny to go with us? Oh, no. She is busy with her dancing class. You know, there is a very big performance in just a week. Yes, you're right. It is really not good for her to learn dancing. Her leg hasn't completely recovered from that accident. But she doesn't think so. She is crazy about dancing. Will you take your camera with you tomorrow? I want to, but I lent it to Tom yesterday. Do you have one? No, but I know Mary has got one. Let's go and ask her if she'd like to join us. OK. not free prepare for the performance",implies,gen,she doesn't think so,not free,crazy about dancing,busy with her dancing class,1
720,dream-0274-triplet-11,0,What desire is caused by 'lost my handbag'?,"Please, please, can you help me? I seem to have lost my handbag. Calm down, Madam. Well, I'll have to fill out this report for you. What color is it, Madam? Well, it is a white one. How big is it? Mm, I guess it's about one foot long and seven inches tall. One foot long and seven inches tall. What's in the bag, Madam? There is a wallet, two keys, and a letter. And where did you leave it? I am sure I left it in the coffee shop on the 5th floor. Don't worry, Madam. I am sure we can find it. Now could you give me your name, your address and telephone number? being tensed report the lost item return the lost item when found",causes desire,gen,report the lost item return the lost item when found,What's in the bag,report the lost item,"give me your name, your address and telephone number",2
3530,dream-0823-triplet-3,0,What happens after 'take the meat out of the fridge'?,"Welcome. Hi, John. Hey, you've done a good job decorating this place, really nice. Thanks, I am glad you like it. Can I get you a drink? No, thanks. Let's make dinner. I am getting hungry. Here is the kitchen. I will wash the onions first. Could you take the meat out of the fridge? It's in a yellow plastic container. Wow, this smells good. Could yon pass those potatoes to me, please? What are we having? My special dumplings, sweet and sour pork, beef with onions and green peppers, and a few side dishes like tomatoes with sugar. Sounds wonderful. What are you going to do next? I'll start preparing the meat stuffing. The dumplings are great. I wish I had the recipe. And could you tell me what's in this? Well, I put a lot of onions in it, and garlic and melon. Oh, I like garlic and melon. ",happens before,gen,make dinner,wash the onions,kitchen,meat stuffing,0
1717,daily-dialogue-0444-triplet-1,0,What does 'parking in the red zone' cause?,"Did you ever get a parking ticket ? No , have you ? Yeah , I just got one the other day . How'd you get a ticket ? The ticket was for parking in the red zone . I don't understand why you would do that . There was nowhere to park , and I needed to run in and get something . Where'd you get the ticket at ? I parked in front of my apartment building . What about your parking spot ? But I really needed to be quick . I bet that you wish you hadn't done that . ",causes,gen,parked,parking ticket,don't understand,got one the other day,1
2556,daily-dialogue-3513-triplet-5,0,What property does 'cereal' have?,"What are you going to have for breakfast ? I just have some cereal each morning . You're supposed to always have a hearty breakfast . I don't always have time to make breakfast . It's easy to make a quick breakfast . What do you have for breakfast ? When I need to make a quick breakfast , I just make some oatmeal , toast , and OJ . That's a good idea . It's not time consuming at all . It doesn't take much time to make ? Would you like me to make something ? Why don't you make me some oatmeal and toast ? unhealthy",has property,gen,hearty breakfast,oatmeal and toast,not time consuming,unhealthy,3
1366,daily-dialogue-0087-triplet-3,0,What is a synonym of 'crying'?,"Are you going to the movie theater with me tonight ? Is there anything good playing ? Titanic is playing tonight . It's a blockbuster . Really ? I want to go , too . OK , let's meet at the movie theater entrance tonight . Don ’ t be late . No problem . ( After watching the movie . ) Are you crying ? I get a lump in my throat whenever I see a tragic movie . Tragic movie ? I think it's a love story . But their love is touching ! Ah , you're just too emotional . I am not ! ",synonym,gen,No problem,get a lump in my throat,blockbuster,going to the movie theater,1
4017,dream-0497-triplet-1,0,What desire is caused by 'lost my coat'?,"Good morning, madam. Good morning. I wonder if you can help. I've lost my coat. Where did you lose it, madam? Er... I left it on a bus yesterday morning. Can you describe it? Is it a raincoat? No. It's a long white overcoat. It's got a belt, and one of those thick furry collars that keep your ears warm. It's a very nice coat, actually. Hmm. I'm afraid we haven't got anything like that, madam. Sorry. But, may I have your name and your telephone number? We'll contact you as soon as we've got it. ",causes desire,gen,you can help,Sorry,long white overcoat,have your name and your telephone number,0
487,dream-0221-triplet-5,0,What does 'return it' cause?,"Is there anything else that you would like to buy? No, thank you. I guess that's it. By the way, in case there's a flaw in this CD player. Can I return it? Yes. But you must return it within 30 days. Is there a charge for that?I know other stores have a restocking fee. There will be no charge at all. I'm glad to hear that. However,you must show us the receipt. Could you sign it here, please? OK. All right. Keep your receipt. If something comes up. you can show it to us and We'll give you a refund. Thanks. I'll put it in a safe place. ",causes,gen,show us the receipt,buy,"No, thank you",give you a refund,3
2549,daily-dialogue-3511-triplet-5,0,What property does 'green apples' have?,"What are you going to eat with your sandwich ? I think I'm going to eat a piece of fruit . What kind do you like ? I really like apples and grapes . What kind of apples do you like ? I love green apples . I don't like green apples . Really ? Why not ? Green apples are too sour for me . So , you like red apples better ? Yeah , I love red apples . I think green apples are a lot better . sweet",has property,gen,What kind do,sour,don't like green apples,sweet,1
541,dream-0240-triplet-1,0,What happens after 'borrow your notes'?,"Maggie, can I borrow your notes for history? I'll return them tomorrow. Sorry, but I usually go to the cafeteria and review them. Why not copy them in the library? OK. Here you are. You are a great help, Maggie. I don't quite understand a why you need my notes, Mark? You haven't missed any classes. To be honest, I work in supermarket from 7 to 10 o'clock every evening. I see. So you're pretty tired when you come to class. That's exactly why I want to borrow your notes. My notes aren't very good. So what do you usually do in class? I'm always awake at the beginning, but thirty minutes after class begins I feel sleepy and have trouble keeping my eyes open. Well, I need someone to study with and you need someone to keep you awake. Can we be study partners? Oh sure. That's a good idea. So give me a push when you see me sleeping in class. OK. Let's start today in the library. We are going there anyway and I don't have to go to the cafeteria. Sounds good. ",happens before,gen,going there anyway,missed any classes,return them tomorrow,notes aren't very good,2
3809,dream-0882-triplet-6,0,What does 'dark the whole time' cause?,"Wow, I had no idea it was going to be so sunny here! I thought Alaska was supposed to be cold. Well, it is pretty cold for much of the year. But during the summer, it's just as warm as it is in states like Washington and Oregon. Interesting. The days are really long right now. I don't think the sun has been down for more than a few hours the whole time I've been here. Yeah, that's another interesting thing about the summers here. We're so far north that we're exposed to the sun for almost the entire day. In winter, the opposite is true. You mean it's dark the whole time? Well, not the whole time... but maybe for two-thirds of every day from December to February. Whoa! How do you make it through every year? As a California native, I wouldn't be able to handle that for more than one season! I guess I'm used to it. When I was a kid, it was pretty fun to play with flashlights and have campfires outside in the afternoon. I never noticed that life was worse because it was always dark. ",causes,gen,the sun has been down,play with flashlights,wouldn't be able to handle that,not the whole time,1
3028,dream-0315-triplet-3,0,Which goal motivates the act/action 'bring your wife'?,"Well, I'm afraid my cooking isn't to your taste. Actually, I like it very much. I'm glad you enjoy it. Let me serve you some more fish. No, thank you. I've had enough fish, but I'd like some soup. Here it is. Help yourself! Thanks. I didn't know you were so good at cooking. If only my wife could learn to cook from you. Why not bring your wife next time? I haven't seen her for quite a while. OK, I will. She will be very glad to see you, too. Thank you for the wonderful meal. ",motivated by goal,gen,serve you some more fish,haven't seen her,learn to cook from you,bring your wife,2
