,video-id,fold-ind,startphrase,sent1,sent2,gold-source,ending0,ending1,ending2,ending3,label
752,dream-0561-triplet-6,0,"What desire is caused by 'find a job'?","Hello. Matt White speaking. Hello, Dr. White, my name's Pan Johnson. My roommate, Janet Holmes, wanted me to call you. Janet Holmes? Oh, that's right. She's in my Shakespearean English class. Has anything happened to her? Nothing, it's just that she submitted a job application yesterday and the company asked her in for an interview today. She's afraid she won't be able to attend your class this afternoon. I'm calling to see whether it would be OK if I gave you her essay. Certainly, that would be fine. Uh, you can either drop it off at my class or bring it to my office. Would it be all right to come by your office around 4:00? I'm afraid I can't come any earlier because I have three classes this afternoon. Uh, I won't be here when you come. I'm supposed to be at a meeting from 3:00 to 6:00, but how about leaving it with my secretary? She usually stays until 5:00. Fine, please tell her I'll be there at 4:00. And Dr. White, one more thing, could you tell me where your office is? Janet told me where your class is, but she didn't give me directions to your office. Well, I'm in Room 302 of the Gregory Building. I'll tell my secretary to put the paper in my mail box, and I'll get it when I return. I sure appreciate it. Goodbye, Dr. White. Goodbye, Ms. Johnson. find a job",causes desire,gen,"tell her I'll be there at 4:00","directions to your office","submitted a job application","tell me where your office is",2
2635,dream-0100-triplet-4,0,"What does 'Give your baggage ticket to the driver' cooccur with?","Good morning. Good morning. What can I do for you? I'd like a ticket to New York, please. Round trip? No, one way. Okey, that'll be $55. 55? Last time I took this coach it was only 50. Hmm, does this coach still leave 2:15? 2:15 at Gate 11. You ought to be at door by 2:00, though. Fine. Do you want to check in your suitcases? Just two. I'll carry the other one with me. That's good. We can check in two anyway. Give your baggage ticket to the driver when you get to New York Okay, thanks a lot. You're welcome. Have a good trip. ",happens simultaneously,gen,"carry the other one with me","get to New York","No, one way","trip",1
1313,daily-dialogue-0072-triplet-2,0,"What does 'smoking' cause?","Are you feeling better today , Bill ? Well , it ’ s hard to say . I coughed a lot in the evening . You ’ d better give up smoking . It ’ s bad for your health . You ’ re right . But you know it ’ s so hard to give up the old habit like smoking . But you should make up your mind first . You know I often have to work far into the night . I need smoking to keep me awake . Why don ’ t you go to bed early and get up early ? You ’ ll have the same time for work . Thank you for your advice . I ’ ll try it . B need to do A lot of work",causes,gen,"have to work far into the night","it","bad for your health","make up your mind",2
3363,dream-0432-triplet-3,0,"What desire is caused by 'I'm too old to'?","Congratulations on breaking the records at the recent Olympics, Miss Green! Thank you, Mr. Rarker. Oh, look at those trophies! You became a swimming star at the age of fifteen, didn't you? Yeah, you're right. Could you tell me something about your plans for the future? To tell you the truth, I'm going to give up swimming from now on. I beg your pardon? I mean I'd rather not swim at all. I'm too old to... Excuse me, if I'm not wrong, you've only twenty now. Is it too old at twenty? Yes, too old for a swimmer. If I swim in an international competition, I'll hardly be able to win. But...er...don't you enjoy swimming? Certainly, and I enjoy visiting other countries, and the Olympics are very exciting. However, I missed more important things. I had to work very hard at swimming. There was training before school, after school, and at weekends. While other girls were growing up, I was swimming, swimming. But life isn't merely swimming, is it? ",causes desire,gen,"Thank you","too old to","I'd rather not swim","visiting other countries",2
909,dream-0601-triplet-5,0,"Which goal motivates the act/action 'taste things'?","Hi, Jenny. What did you do today? Hi, Mark! I've just got back from the Art Gallery. They had a wonderful art exhibition today. You shouldn't have stayed home and worked on that paper. I think you would have been inspired by some of the paintings. Oh, I don't know. I don't really care for modern art. I think you should think of modern art like food. You need to taste things to see if you like them. You know, some of the pieces at the exhibition were even for sale. The last one was on sale for $9,000. $9,000? Well, I may go and visit the exhibition tomorrow, but I'm not going to buy anything. OK, let me know how it goes, won't you? And you might give Tom a call. He wanted to go with me today but his aunt was in town so he couldn't. He really wants to go. OK, I will. ",motivated by goal,gen,"Art Gallery","worked on that paper","modern art","like them",3
2793,dream-0138-triplet-5,0,"What is 'play tennis' a manner of?","Hello? Hello. Is that Dr. Bean? Yes, it is. Dr. Bean, I'm making a survey for the National Research Company. I'd like to ask you a few questions about your health habits. OK. First question: How often do you take medicine? I sometimes take aspirin, but that's all. Do you take vitamins? No, I never do. How about exercise? Well, I often play tennis or handball. Do you eat any healthy food? No, I just try to eat good food. Well, I've finished. Thank you for your help. ",manner of,gen,"health habits","exercise","Dr.","finished",1
2411,mutual-1123-triplet-4,0,"What does 'went past your house last week' cause?","hi , james . i have n't seen you for ages . i went past your house last week . i was going to knock at your door and say hello . well , it 's lucky you did n't . my parents bought a new flat in town , so we 're there now . ",causes,gen,"knock at your door and say hello","lucky you did n't","have n't seen you for ages","we 're there now",0
3629,dream-0841-triplet-4,0,"What is implied by 'nobody has been late for the practice'?","What do you usually do in your spare time? I have joined a singing group and we practice two afternoons each week. That's a very interesting thing to do. Yes. It's a small group of only fifteen girls and boys. But nobody has been late for the practice. I see. How many songs can you sing now? We started only three months ago, but we've practiced eight songs. Are you going to perform any time? Yes, there will be a school show next month and we are going to sing a song in it. We are practicing a new song now. It's written by one of the singers in our group. Really? What's the name of the song? Sunny Days. That's a nice name. I hope to listen to it soon. Can I visit you when you practice? ",implies,gen,"How many songs","Days","I","interesting",3
356,daily-dialogue-1209-triplet-1,0,"Where is 'bought a China dress' located?","Hello , I bought a China dress in your shop this morning . Yes ? I bought one size up by mistake . Oh , did you ? I wonder if you can change it to one size down . Yes , of course . Will you come with receipt ? Then I ’ ll come to your place later in the evening , and how late is your shop open ? Until 8 o'clock madam . We are looking forward to seeing you . shop is closed",at location,gen,"receipt","shop","bought one size up","one size down",1
2087,mutual-0010-triplet-4,0,"Where is 'ancient greek art' located?","adam , i called your home this morning but i could n't get through . was there anything wrong with your phone ? i was at an art exhibition . i had it turned off before i entered the exhibition hall . what did you see at the exhibition ? it was about ancient greek art . you know , i love such exhibitions . do you love going to exhibitions ? certainly , but i prefer those about famous people . what else do you like doing besides going to exhibitions ? do you often go to concerts ? no , though i love music , i ca n't afford to go to concerts . what about you ? i love going to pop concerts . i went to tylor swift concert earlier this month . ",at location,gen,"exhibition","pop concerts","prefer those about famous people","art exhibition",0
